,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,Ryan Fitzpatrick,Drew Brees,Tom Brady,Matthew Stafford,Jimmy Garoppolo,Russell Wilson,Ben Roethlisberger,Kirk Cousins,Patrick Mahomes,Aaron Rodgers,Jared Goff,Alex Smith
WR1,Brandin Cooks,Golden Tate,Odell Beckham Jr.,Antonio Brown,Emmanuel Sanders,Michael Thomas,Allen Robinson II,JuJu Smith-Schuster,Jarvis Landry,T.Y. Hilton,Julio Jones,DeAndre Hopkins
WR2,Kenny Golladay,Demaryius Thomas,Mike Evans,Stefon Diggs,Larry Fitzgerald,Keenan Allen,Marquise Goodwin,Chris Godwin,Davante Adams,Adam Thielen,Nelson Agholor,A.J. Green
RB1,Ezekiel Elliott,Derrick Henry,Kareem Hunt,Jordan Wilkins,Carlos Hyde,Kenyan Drake,Christian McCaffrey,David Johnson,Tevin Coleman,Saquon Barkley,Phillip Lindsay,Todd Gurley II
RB2,Alvin Kamara,Lamar Miller,Marshawn Lynch,Ito Smith,Matt Breida,Javorius Allen,Alex Collins,Jordan Howard,Royce Freeman,Melvin Gordon III,Corey Clement,James Conner
TE,Rob Gronkowski,Zach Ertz,Will Dissly,Trey Burton,Travis Kelce,Kyle Rudolph,Jordan Reed,O.J. Howard,Evan Engram,Jimmy Graham,Jesse James,Austin Seferian-Jenkins
W/R,Sony Michel,Cooper Kupp,Tyreek Hill,Tyler Lockett,Chris Thompson,Marvin Jones Jr.,Chris Hogan,Bilal Powell,DeSean Jackson,Giovani Bernard,Antonio Callaway,Latavius Murray
BN1,Andrew Luck,Sammy Watkins,Dion Lewis,Joe Mixon,Devin Funchess,Dalvin Cook,Peyton Barber,Jamaal Williams,Chris Carson,Will Fuller V,Robert Woods,Adrian Peterson
BN2,Kerryon Johnson,Duke Johnson Jr.,LeSean McCoy,Robby Anderson,Rex Burkhead,Andy Dalton,Michael Crabtree,Cam Newton,Leonard Fournette,Tarik Cohen,Isaiah Crowell,David Njoku
BN3,Rashaad Penny,Matt Ryan,Ronald Jones II,Mark Ingram,Philip Rivers,Ty Montgomery,Devonta Freeman,Randall Cobb,Amari Cooper,D.J. Moore,Jay Ajayi,Corey Davis
BN4,Alshon Jeffery,George Kittle,Julian Edelman,Dak Prescott,Doug Baldwin,Alfred Morris,Carson Wentz,Aaron Jones,Ted Ginn Jr.,Dez Bryant,Nick Chubb,T.J. Yeldon
BN5,Mike Williams,Josh Gordon,Pierre Garcon,Charles Clay,James White,Jared Cook,Jack Doyle,Phillip Dorsett,Deshaun Watson,Anthony Miller,Calvin Ridley,Austin Ekeler
BN6,Sterling Shepard,Los Angeles,Chris Ivory,,John Brown,Kenny Stills,Rishard Matthews,Keelan Cole,Eric Ebron,Blake Bortles,Quincy Enunwa,Dede Westbrook
IR,,,Delanie Walker,Le'Veon Bell,Jerick McKinnon,,,Greg Olsen,,,Derrius Guice,Marlon Mack
K,Matt Bryant,Justin Tucker,Josh Lambo,Stephen Gostkowski,Harrison Butker,Wil Lutz,Robbie Gould,Matt Prater,Mason Crosby,Jake Elliott,Dan Bailey,Graham Gano
DEF,Dallas,Los Angeles,New York,Philadelphia,Baltimore,Minnesota,Denver,Jacksonville,Chicago,Houston,Cleveland,New England
