,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,Andrew Luck,Drew Brees,Tom Brady,Matthew Stafford,Philip Rivers,Russell Wilson,Ben Roethlisberger,Kirk Cousins,Patrick Mahomes,Eli Manning,Jared Goff,Alex Smith
WR1,A.J. Green,Golden Tate,Odell Beckham Jr.,Antonio Brown,Larry Fitzgerald,Michael Thomas,Allen Robinson II,JuJu Smith-Schuster,Davante Adams,T.Y. Hilton,Julio Jones,Corey Davis
WR2,Brandin Cooks,Demaryius Thomas,Mike Evans,Stefon Diggs,Emmanuel Sanders,Keenan Allen,Michael Crabtree,Chris Godwin,Jarvis Landry,Adam Thielen,Kenny Stills,DeAndre Hopkins
RB1,Ezekiel Elliott,Derrick Henry,LeSean McCoy,Joe Mixon,Carlos Hyde,Dalvin Cook,Christian McCaffrey,David Johnson,Tevin Coleman,Saquon Barkley,Kareem Hunt,Todd Gurley II
RB2,Alvin Kamara,Lamar Miller,Dion Lewis,Jordan Wilkins,Rex Burkhead,Kenyan Drake,Peyton Barber,Jordan Howard,Chris Carson,Melvin Gordon III,Jay Ajayi,Adrian Peterson
TE,David Njoku,Zach Ertz,Antonio Gates,Trey Burton,Travis Kelce,Kyle Rudolph,Jordan Reed,O.J. Howard,Evan Engram,Jimmy Graham,Benjamin Watson,Rob Gronkowski
W/R,Kerryon Johnson,Cooper Kupp,Tyreek Hill,Tyler Lockett,Chris Thompson,Marvin Jones Jr.,Alex Collins,Bilal Powell,Ted Ginn Jr.,Tarik Cohen,Isaiah Crowell,James Conner
BN1,Rashaad Penny,Sammy Watkins,Marshawn Lynch,Robby Anderson,Doug Baldwin,Andy Dalton,Devonta Freeman,Jamaal Williams,Leonard Fournette,Aaron Rodgers,Robert Woods,Sterling Shepard
BN2,Sony Michel,Duke Johnson Jr.,Ronald Jones II,Le'Veon Bell,Matt Breida,C.J. Anderson,Chris Hogan,Cam Newton,Royce Freeman,Will Fuller V,Brandon Marshall,Marlon Mack
BN3,Alshon Jeffery,Matt Ryan,Julian Edelman,Mark Ingram,Devin Funchess,Ty Montgomery,Marquise Goodwin,Randall Cobb,Amari Cooper,Jamison Crowder,Nick Chubb,Kelvin Benjamin
BN4,Kenny Golladay,George Kittle,Pierre Garcon,Dak Prescott,Allen Hurns,Jordy Nelson,Carson Wentz,Aaron Jones,Tyler Eifert,D.J. Moore,Calvin Ridley,T.J. Yeldon
BN5,Mike Williams,Josh Gordon,Nelson Agholor,Charles Clay,Jimmy Garoppolo,Alfred Morris,Jack Doyle,Christian Kirk,Deshaun Watson,Dez Bryant,Chris Ivory,Austin Ekeler
BN6,Case Keenum,Los Angeles,Phillip Lindsay,Jeremy Hill,James White,Jared Cook,Rishard Matthews,Phillip Dorsett,DeSean Jackson,Anthony Miller,Quincy Enunwa,Austin Seferian-Jenkins
IR,,,Delanie Walker,,Jerick McKinnon,,,Greg Olsen,,,Derrius Guice,
K,Matt Bryant,Justin Tucker,Chris Boswell,Stephen Gostkowski,Harrison Butker,Wil Lutz,Robbie Gould,Matt Prater,Greg Zuerlein,Daniel Carlson,Brandon McManus,Graham Gano
DEF,Carolina,Los Angeles,New Orleans,Philadelphia,Baltimore,Minnesota,Denver,Jacksonville,Chicago,Houston,Washington,Miami
